,text,affect_isr,affect_pal,attitude
695,"С верой и силой, ма шаа Аллах 🙏🙏  ",2,1,1
860,Мусульмане Объеденяйтесь,2,1,1
337,🇵🇸✌️🇵🇸,2,1,1
1427,нетерпимый антисемитизм  ,2,0,0
743,Израиль может устраивать геноцид,1,2,1
396,Израиль — защитник мира и стабильности!🇮🇱✊,0,2,0
540,Мы вкладываем все силы в обеспечение благополучного будущего для Палестины,2,1,1
739,"Израиль дал им знания, без которых они бы застряли в древних временах.",2,0,0
1303,🇮🇱💫❤️,0,2,0
318,"Когда мы будем бороться с антисемитизмом, мы будем бороться за справедливость.",2,0,0
599,Любая попытка создания Палестины как отдельного государства будет дестабилизировать регион.,2,0,0
539,"Палестина, мы с вами на пути к мирному сосуществованию",2,1,1
219,Израиль будет разнесен,1,2,1
459,Я против поддержки Израиля.,1,2,1
1535,"Когда читаю ваши комментарии, диву даюсь. Это не наш конфликт. Солдаты наши с Хамасом в Сирии сражались. Жалко детей с обеих сторон.",2,2,2
864,Нужно очистить наши земли от сионисткой нечисти ,1,2,1
1323,🌟❤️🇮🇱,0,2,0
1313,💞🇮🇱🌟,0,2,0
1004,"Люди поддерживают ХАМАС, потому что с Израилем никто не ладит.",1,2,1
705,"Бедняги, везде видят антисемитизм",1,2,1
1441,💪🇵🇸🤲💪🇵🇸🤲💪,2,1,1
515,Израиль - государство палач,1,2,1
153,"Когда такое было, чтобы арабы были мирными?",2,0,0
682,"Стойкость и вера, ма шаа Аллах 🙏🙏  ",2,1,1
1396,Добро пожаловать! Враги не смогут нам противостоять! 🇮🇱🌼,0,2,0
634,🙏🙏🙏🇮🇱,0,2,0
447,Сила Израиля — это опыт и мощь прошлых побед.,0,2,0
81,Если вы поддерживаете хамас то вы террористы.,2,0,0
959,Недолго евреям осталось,1,2,1
235,ЦАХАЛ😡🤬🤬,1,2,1
320,"История антисемитизма - это история страданий и несправедливости, не будем повторять ошибки.",2,0,0
147,Евреи нагнут кого хочешь!!,0,2,0
1223,Сколько раз убеждался - сионисты своими действиями сами провоцируют антисемитизм. И при этом гордятся своей образованностью.,1,2,1
750,Евреи непобедимый народ!!,2,0,0
360,Израиль всегда защищает свои граждан.,0,2,0
756,Израильское правительство - звери поганые,1,2,1
1413,чудовищный антисемитизм  ,2,0,0
1040,В Израиле вообще есть адекватные люди???,1,2,1
1599,"Евреи в космос рвутся, а арабы где рвутся?",0,0,0
258,евреи🤬🤬,1,2,1
570,🇮🇱❤️🙏,0,2,0
1648,Хамас - нацисты и террористы,2,0,0
1222,Сионистские действия обостряют проблему антисемитизма. Хотя принято считать их очень умными людьми.,1,2,1
1604,"Интересно, сколько палестинцев реально осудили террор против евреев, прежде чем начали обвинять Израиль?",2,0,0
1037,"Палестинцы восстановили свои разрушенные дома? Построили школы и больницы? Израиль отдал им земли или взял на содержание? Газ, воду и электричество подавать начал? В чем же проигрыш Израиля?",0,2,0
1269,Израиль всех заложников убил,1,2,1
1289,"Что скажет Израиль за детские жизни, унесённые за 73 года? И не началось это 7 октября. Почему они убили столько детей? Какая причина?",1,2,1
591,Евреи ведут себя как настоящие звери!!!,1,2,1
177,Снова евреев везде антисемитизм мерещится,1,2,1
828,"Как прекрасно видеть, как израильтяне сплотились в трудный момент!  ",0,2,0
272,"Зачем оправдывать ХАМАС, если их действия противоречат гуманности?",2,0,0
744,Израиль устроил геноцид,1,2,1
268,"Неприемлемо поддерживать ХАМАС, зная, что они совершают теракты против мирных жителей.",2,0,0
21,"Инша Аллах, Палестина победит 🤲🏼",2,1,1
1557,"Читая комментарии, думаю – зачем участвовать в чужом конфликте? Это ведь не наша война. Солдаты столкнулись с Хамасом в Сирии. Жалко детей с обеих сторон.",2,2,2
308,Каждое проявление антисемитизма — это пятно на нашей совести.,2,0,0
668,"Их стойкость вечна, ма шаа Аллах 🙏🙏  ",2,1,1
430,Израиль с 1948 года драконит Палестину и не сдаётся.,2,2,2
1158,Различие между антисемитизмом и антисионизмом колоссально,2,2,2
580,🇮🇱❤️🙏,0,2,0
487,"Каждый народ заслуживает своё место под солнцем. Израиль – это дом для евреев, где они могут жить в безопасности.",0,2,0
181,Израиль борется с исламским терроризмом,2,0,0
1501,"Палестину у арабов отобрали, вроде все тихо",1,2,1
448,Вся сила Израиля нацелена на новую победу.,0,2,0
1235,Сионисты своими же поступками создают антисемитские настроения в мире. Хотя они считаются умными.,1,2,1
745,Евреи устроили геноцид,1,2,1
1191,👋👋👋🇵🇸🙏🇵🇸👋👋👋,2,1,1
1382,Рады приветствовать тебя! Пусть враги трепещут перед нами! 🇮🇱🌴,0,2,0
1489,"Забрали у арабов землю, и никому нет дела",1,2,1
603,Государство Палестина противоречит международному праву.,2,0,0
180,Ну почему же никто не помогает Палестине?,2,1,1
1145,Очень важно различать антисемитизм и антисионизм,2,2,2
949,"Что с поддержкой Палестины, мир?",2,2,2
295,"Те, кто оправдывают ХАМАС, несколько не понимают, что это за угроза.",2,0,0
670,"Вера их нерушима, ма шаа Аллах 🙏🙏  ",2,1,1
134,Евреи слишком уж много о себе думают,1,2,1
738,"Израиль вывел их на новый уровень, иначе бы их прогресс остановился.",2,0,0
772,Евреи должны убраться с земли арабов,1,2,1
1482,"Не видел в России людей, завидующих этим личностям! Еврей - это же прозвище!",1,2,1
108,"Евреи стирают Палестину, уроды",1,2,1
107,Желаю Израилю победы,0,2,0
3,Не капли не жалко евреев. Они - убийцы!!!,1,2,1
13,"Какая же она бедная, ей ещё предстоит столкнуться с кучей злобных людей, ненавидящих Израиль 😔",0,2,0
1397,Приветствуем! Пусть недругам будет не по себе! 🇮🇱🌸,0,2,0
1685,чтобы минимизировать потери для израильской стороны,0,2,0
630,🙏🙏🙏🇮🇱🇮🇱🕊️,0,2,0
1667,"Сами с радостью нападают, но стоит им ответить, сразу жалуются на исламофобию.",2,0,0
1118,евреи дейтсвуют в точности как Гитлер ,1,2,1
1465,☝️✊🇵🇸🙏🇵🇸✊☝️,2,1,1
1095,"Победит Израиль — палестинцы к нам устремятся, арабы одолеют — евреи сюда ринутся. Хотелось бы этого избежать...",2,2,2
1060,От комплексов антисемитом стал. Член маленький жизнь рушит.,2,0,0
989,"Кажется, что люди поддерживают ХАМАС, потому что у Израиля много врагов.",1,2,1
961,"ХРЕСТОМАТИЙНЫЙ ПРИМЕР ГЕНОЦИДА""НАРОДА ПАЛЕСТИНЫ",1,2,1
1061,Всё из-за этого маленького члена. Антисемитизм – оправдание.,2,0,0
395,"Справедливость восторжествует, а Израиль победит!🇮🇱⚔️",0,2,0
624,🙏🙏🇮🇱🇮🇱🌟,0,2,0
225,Израиль - террористическая организация,1,2,1
1338,"Палестина не существует как государство, их язык позаимствован. Они зависят от Израиля в финансах и энергетике. Только насилие и кровь.",2,0,0
1016,Сионисты🐷😡,1,2,1
257,Сотни евреев умрут - и слава аллаху!! Так им!!,1,2,1
473,Израиль не для меня.,1,2,1
1079,Регулярные обсуждения израильских новостей – путь к уменьшению мирового антисемитизма.,0,0,0
1611,"Забавно, насилие против евреев редко осуждается палестинцами, но ответ Израиля моментально вызывает протест.",2,0,0
