,text,affect_isr,affect_pal,attitude
0, Есть.Израильские газ и нефть))),2,2,1
1,"Когда то кто так же говорил о евреях,призывая их истреблять везде,вне зависимости от места  проживания и социального статуса. Правда в ту войну ни один влиятельный и богатый еврей не пострадал.",2,2,1
2," да, согласен теперь пехота у них слабовата. но раньше стойкая пехота из городских призывников в противовес арабам-селянам была фишкой Израиля",2,2,1
3,В этом году Украина или Израиль победит?,2,2,1
4, вы из Газы?,2,2,1
5," В целом, Мариуполь был на порядки сложнее для штурма и освобождения чем Газа. Там было больше сил противника, более подготовленные и вооруженные противники. У нас для штурма было задействовано намного меньше сил, чем у Израиля в Газе, при этом мы еще и действовали намного цивилизованнее, максимально сохраняя жизни мирных жителей.",2,2,1
6,"они базируются в Наблусе, в Дженине ещё более жёсткие ребята. И те и другие в эти дни вступают в бои с оккупационными силами и поддерживают операцию Шторм Аль-Аксы как могут, на Западном берегу больше 15 мучеников за эти дни, не хватает времени освещать эти события. Очень много информации.",2,2,1
7,Что-то по поводу антисемитизма,2,2,1
8,Бизнесс класс в Газу? Шикардос👍,2,2,1
9," вы не видели комментов месяц назад????? Там евреев называли......  И ни кто не возмущался.  А ещё их искали. Да, да искали.",2,2,1
10,"Как куда лететь на Запад - Хамас террористы, как дома в Москве - Хамас братья. А.П. Чехов, ""Хамелеон"" 🤣🤣",2,2,1
11,Пусть мартышкину попросят подсобить. Она стримами заработает.,2,2,1
12,"Это что, израильский брат Байдена?",2,2,1
13,"Слово ""антисемитизм"" — означает ""ненависть к евреям"", а не к потомкам библейского Шема. Точно также, как “гомофобия"" означает ненависть к гомосексуалистам, а не к роду гомо сапиенсов!  😁 Так что нечего тут кривляться! 🤡",2,2,1
14,"ЦИК понизил пороговый уровень антисемитизма для России до (((4,9%)))",2,2,1
15,"Нет никакого оправдания терроризму и животной жестокости по отношению к другим людям. Всем тем, кто пытается выставить антиизраильскую позицию как якобы проХАМАСовскую на заметку.",2,2,1
16,если арабы не сделали нахрена это Путину?,2,2,1
17," Ирану надо сделать вид, что он сильный. Но скорей всего Хамас слили. Ребята свои действия похоже ни с кем не согласовали.",2,2,1
18,"Сейчас вылезут адепты договорняков и будут рассказывать, что это всё израильский пси-опс, организованный Моссад! Ведь очевидно, что потеря десятков военнослужащих, включая офицеров и спецназовцев, дорогостоящей техники, включая вертолёт и танки, вышек связи, не говоря уже о сотнях мирных жителей, ставших жертвами террористов, просто необходима для формирования казус белли.",2,2,1
19,"Ну какой миф-то, если, например, в 40-50-е гг. в ссср даже в школе ребенок с фамилией даже на -с(ц)кая-ский, которые часто ошибочно принимали за еврейские, на себе испытывал этот самый антисемитизм ?! Вот дед мой по отцу Мосолов, а мать его, моя прабабка, полька, -Стоцкая. Дед по каким-то семейным распрям оказался в итоге как незаконнорожденный под фамилией матери, т.е. Стоцким. И я с моим курносым носом и волосами, как лен, ходила в детстве с клеймом жидовское отродье!!! При том, что вся родня этнически русские и внешне тоже. Вот до чего доходило. Так что не надо. Был он и есть, этот антисемитизм. Причем, когда не еврея считают евреем свои же, то евреи не принимают в свои! ))) Четко! У них четко, никто не примажется.)))",2,2,1
20,израиль,2,2,1
21, а что и такое ожидается? Что это означает расшифруйте пожлста?,2,2,1
22,"Попробую объяснить доступным путём ,слова В.В. Путина : Будут найдены все террористы и мочить будем в сортире. Так вот Израиль ищет те самые сортиры . Да и уже ни кого не интересует сколько будет жертв ,главное найти сортир .",2,2,1
23," анекдот был к вопросу ""И почему же во всем мире не любят евреев?""",2,2,1
24,"Всегда смешил термин ""антисемитизм"". Особенно арабы антисемиты😂",2,2,1
25," арабы, а не мусульмане. Мусульмане — это религиозная группа, а не национальность",2,2,1
26,"Бухарские евреи - это персы принявшие иудаизм. До конца '19-го иудеями их звали, а национальности как таковой евреев не было.",2,2,1
27," да! В понедельник вечером, вылетели из Израиля.",2,2,1
28,"Не антисемитизм, а антисионизм... К Ираку и Кувейту и тд претензий ни у кого не было.",2,2,1
29,"Хочется заменить ""Израиль"" на ""РФ"", а ""Палестина"" на ""Украина"" и глянуть, что получится. Но это так, в порядке мысленного эксперимента",2,2,1
30,Строительство храма на мусульманской земле большой показатель уважения другой религии и глубокого уважения к нашему Президенту.,2,2,1
31,"наврятли димон , палестина не русский КРЫМ , тут по кровавей",2,2,1
32,США акупанты Газы,2,2,1
33,вот арабы-семиты и давят израильский антисемитизм - чем ты недовольно?,2,2,1
34,Антисемитизм от слова семиты.Какие у нас тут нах семиты?,2,2,1
35, а я не уверена что Хамаз не спровоцировали Америкосы Очень уж быстро и военные корабли и войска быстро примчались защищать Израиль Как будто бы заранее готовились Америкосам нужно войти на восток И сразу долбонули аэропорты Сирии зачем Снова Асада свергать,2,2,1
36,"""""""антисемитизм признак пещерного сознания""""""? я думаю что (в большинстве своем) морду бьют не по паспорту, а за косяки....",2,2,1
37,"Насаждали демократию США нескольким десяткам стран, а тут евреи подсуетились ...Ну а чо?",2,2,1
38,ну не дали евреям выполнить план на 100% ☺,2,2,1
39," фигня это,израиль тоже имеет контакты с хамасом,и что?Как говориться,, пи. ть не мешки ворочать,,Важен результат.А его нет.",2,2,1
40,А в РФ евреи учат толерантности и многонационалии за счёт бюджета РФ.,2,2,1
41,"""Русская революция, сделанна еврейскими мозгами, латышскими руками и русскими дураками""... популярная поговорка, русской эммиграции, первой волны. История циклична, помните, об этом! Есть евреи, а есть жиды...",2,2,1
42,"Владимир Владимирович мудрый Государь Российский, но всегда быть в неопределенно подвешенном состоянии что бы не обидеть никого не получится, нужно делать выбор или помогать урегулировать извечный конфликт евреев и арабов, армян и азербайджанцев. Это конечно личное мнение и предположение.",2,2,1
43,Собчак подлежит мобилизации резервистов в Израиле.    Она должна пойти на службу в ЦАХАЛ,2,2,1
44, ты явно не видел израильтян никогда😂😂😂,2,2,1
45," флот - то не для Газы... Это, такой себе, своеобразный сигнал Ирану иже с ним, чтобы не вмешивались😔",2,2,1
46," привет. Странно, конечно. Неадекватность же во всём. Он просто не ожидал, что мы его попросим уйти. Думал, что ""час поговорит и всё наладится"". Что наладится?  Не ожилал, что ему скажут ""не смей орать"" и т. д.  Просто была часть людец, которая убегала на волне коронавируса от системы: антипрививочные разные теории, которые часто сильно мракобесные.  Их же потом использовали для создания внесистемной оппозиции внутри страны против СВО.  И мы то в одну сторону - советскую, ничего не менялось, (а там во время войны только о своей тушке думать не будешь), а они - в другую, мракобесную и сектантскую.   Наверное заметили, как во времена после революции, что ребёнок сомневается в плоскости нашей планеты или, глядя на сводки с фронта и слушая разговоры о том, как, кто, с кем и почему воюет, стал выбирать более достоверную на его взгляд систему представлений о мире.   Задача советского образования - научить думать, вот и подрос ребёнок, стал умение на практике применять.   Отец просто уверен, что если он ""мужчина"" и ""сказал"", то это - истина в первой и последней инстанции. Но так не бывает у нормальных думающих людей.",2,2,1
47,"Ага, доказательства что это другое будут? Может и израиля на самом деле 2? Т.е российский информационный ресурс на который регулярно ссылаются РИА, НТВ, Лентару, Раша тудэй и прочие не котируется?",2,2,1
48,Велика ли территория Израиля?,2,2,1
49,"т.е. ты хочешь чтобы твою Урину разнесли точно так же как Газу? P.s. вообще не понимаю лохлух, которые хотят, чтобы у них было как в газе и в РФ мобилизовали ещё больше, когда армия из 300 тысяч хорошо справляется, желаете быстрей получить гробовые за своих Мыкол?",2,2,1
50,А где арабы?,2,2,1
51,Кто сильнее? Арабские евреи или еврейские арабы? Тот и победит!,2,2,1
52,"А где лицемерные санкции, штаб квартиру ООН из США в Россию когда переместят англо-саксонские иудеи?",2,2,1
53,"Им же всё равно, они заранее назначили арабов ""не людьми"". А вообще римские хроники о иудейской войне и писанина Алоизыча сейчас читаются иначе чем в юности, совсем иначе...",2,2,1
54,Ладно палестинцам!!! Нахера таджикам раздают бляди????,2,2,1
55," это к сожалению не спектакль. Война идет. И каждый борется как может. И в вопросе информационной войны и Россия и Израиль, могли бы делать больше. Обратите внимание как Россия использует англоязычных спикеров.  Все эти полковники в отставке которые очень обоснованно объясняют почему случилась война кому это выгодно. Почему Израиль так не делает? Нужен спикер которому люди поверят. Люди в России.",2,2,1
56,половина населения Газы моложе 19 лет. поэтому в живом щите Хамаса их так много,2,2,1
